utterance,emotion,clean_text,tokens
I wanted to mention that it is improving each day.,neutral,i wanted to mention that it is improving each day,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'is', 'improving', 'each', 'day']"
"That is great news, I am really happy to hear that.",happy,that is great news i am really happy to hear that,"['that', 'is', 'great', 'news', 'i', 'am', 'really', 'happy', 'to', 'hear', 'that']"
"Since my last visit, the front teeth are most sensitive.",neutral,since my last visit the front teeth are most sensitive,"['since', 'my', 'last', 'visit', 'the', 'front', 'teeth', 'are', 'most', 'sensitive']"
I wanted to mention that the front teeth are most sensitive.,neutral,i wanted to mention that the front teeth are most sensitive,"['i', 'wanted', 'to', 'mention', 'that', 'the', 'front', 'teeth', 'are', 'most', 'sensitive']"
"Since my last visit, I used the gel as instructed.",neutral,since my last visit i used the gel as instructed,"['since', 'my', 'last', 'visit', 'i', 'used', 'the', 'gel', 'as', 'instructed']"
"Since my last visit, it is improving each day.",neutral,since my last visit it is improving each day,"['since', 'my', 'last', 'visit', 'it', 'is', 'improving', 'each', 'day']"
"At home, I used the gel as instructed.",neutral,at home i used the gel as instructed,"['at', 'home', 'i', 'used', 'the', 'gel', 'as', 'instructed']"
I am happy I came in early.,happy,i am happy i came in early,"['i', 'am', 'happy', 'i', 'came', 'in', 'early']"
"At home, it is improving each day.",neutral,at home it is improving each day,"['at', 'home', 'it', 'is', 'improving', 'each', 'day']"
"Since my last visit, cold water triggers it.",neutral,since my last visit cold water triggers it,"['since', 'my', 'last', 'visit', 'cold', 'water', 'triggers', 'it']"
"Since my last visit, I used the gel as instructed.",neutral,since my last visit i used the gel as instructed,"['since', 'my', 'last', 'visit', 'i', 'used', 'the', 'gel', 'as', 'instructed']"
"Since my last visit, it is improving each day.",neutral,since my last visit it is improving each day,"['since', 'my', 'last', 'visit', 'it', 'is', 'improving', 'each', 'day']"
I noticed that the front teeth are most sensitive.,neutral,i noticed that the front teeth are most sensitive,"['i', 'noticed', 'that', 'the', 'front', 'teeth', 'are', 'most', 'sensitive']"
I am happy I came in early.,happy,i am happy i came in early,"['i', 'am', 'happy', 'i', 'came', 'in', 'early']"
"At home, it is improving each day.",neutral,at home it is improving each day,"['at', 'home', 'it', 'is', 'improving', 'each', 'day']"
Should I use a special toothpaste?,neutral,should i use a special toothpaste,"['should', 'i', 'use', 'a', 'special', 'toothpaste']"
I wanted to mention that cold water triggers it.,neutral,i wanted to mention that cold water triggers it,"['i', 'wanted', 'to', 'mention', 'that', 'cold', 'water', 'triggers', 'it']"
"At home, cold water triggers it.",neutral,at home cold water triggers it,"['at', 'home', 'cold', 'water', 'triggers', 'it']"
"At home, I used the gel as instructed.",neutral,at home i used the gel as instructed,"['at', 'home', 'i', 'used', 'the', 'gel', 'as', 'instructed']"
I am happy the sensitivity is normal and that my smile still looks great.,happy,i am happy the sensitivity is normal and that my smile still looks great,"['i', 'am', 'happy', 'the', 'sensitivity', 'is', 'normal', 'and', 'that', 'my', 'smile', 'still', 'looks', 'great']"
"Good afternoon doctor, I wanted to check a tooth that was treated years ago.",neutral,good afternoon doctor i wanted to check a tooth that was treated years ago,"['good', 'afternoon', 'doctor', 'i', 'wanted', 'to', 'check', 'a', 'tooth', 'that', 'was', 'treated', 'years', 'ago']"
I noticed that it feels mostly normal.,neutral,i noticed that it feels mostly normal,"['i', 'noticed', 'that', 'it', 'feels', 'mostly', 'normal']"
"Since my last visit, it feels mostly normal.",neutral,since my last visit it feels mostly normal,"['since', 'my', 'last', 'visit', 'it', 'feels', 'mostly', 'normal']"
"Since my last visit, overall it has been fine.",neutral,since my last visit overall it has been fine,"['since', 'my', 'last', 'visit', 'overall', 'it', 'has', 'been', 'fine']"
"Since my last visit, I had a little sensitivity once.",neutral,since my last visit i had a little sensitivity once,"['since', 'my', 'last', 'visit', 'i', 'had', 'a', 'little', 'sensitivity', 'once']"
"At home, overall it has been fine.",neutral,at home overall it has been fine,"['at', 'home', 'overall', 'it', 'has', 'been', 'fine']"
"Wonderful, I am very happy with that result.",happy,wonderful i am very happy with that result,"['wonderful', 'i', 'am', 'very', 'happy', 'with', 'that', 'result']"
I noticed that it feels mostly normal.,neutral,i noticed that it feels mostly normal,"['i', 'noticed', 'that', 'it', 'feels', 'mostly', 'normal']"
"Since my last visit, it feels mostly normal.",neutral,since my last visit it feels mostly normal,"['since', 'my', 'last', 'visit', 'it', 'feels', 'mostly', 'normal']"
I wanted to mention that it feels mostly normal.,neutral,i wanted to mention that it feels mostly normal,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'feels', 'mostly', 'normal']"
I noticed that I am more careful with brushing now.,neutral,i noticed that i am more careful with brushing now,"['i', 'noticed', 'that', 'i', 'am', 'more', 'careful', 'with', 'brushing', 'now']"
"Since my last visit, I am more careful with brushing now.",neutral,since my last visit i am more careful with brushing now,"['since', 'my', 'last', 'visit', 'i', 'am', 'more', 'careful', 'with', 'brushing', 'now']"
I am really happy my tooth can be treated today.,happy,i am really happy my tooth can be treated today,"['i', 'am', 'really', 'happy', 'my', 'tooth', 'can', 'be', 'treated', 'today']"
"Since my last visit, I just wanted reassurance.",neutral,since my last visit i just wanted reassurance,"['since', 'my', 'last', 'visit', 'i', 'just', 'wanted', 'reassurance']"
I noticed that overall it has been fine.,neutral,i noticed that overall it has been fine,"['i', 'noticed', 'that', 'overall', 'it', 'has', 'been', 'fine']"
I wanted to mention that it feels mostly normal.,neutral,i wanted to mention that it feels mostly normal,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'feels', 'mostly', 'normal']"
I noticed that I am more careful with brushing now.,neutral,i noticed that i am more careful with brushing now,"['i', 'noticed', 'that', 'i', 'am', 'more', 'careful', 'with', 'brushing', 'now']"
I wanted to mention that I had a little sensitivity once.,neutral,i wanted to mention that i had a little sensitivity once,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'had', 'a', 'little', 'sensitivity', 'once']"
I am happy because this is better than I expected.,happy,i am happy because this is better than i expected,"['i', 'am', 'happy', 'because', 'this', 'is', 'better', 'than', 'i', 'expected']"
Can sensitivity last a few days?,neutral,can sensitivity last a few days,"['can', 'sensitivity', 'last', 'a', 'few', 'days']"
"At home, I am more careful with brushing now.",neutral,at home i am more careful with brushing now,"['at', 'home', 'i', 'am', 'more', 'careful', 'with', 'brushing', 'now']"
I noticed that I had a little sensitivity once.,neutral,i noticed that i had a little sensitivity once,"['i', 'noticed', 'that', 'i', 'had', 'a', 'little', 'sensitivity', 'once']"
I noticed that I am more careful with brushing now.,neutral,i noticed that i am more careful with brushing now,"['i', 'noticed', 'that', 'i', 'am', 'more', 'careful', 'with', 'brushing', 'now']"
I wanted to mention that I had a little sensitivity once.,neutral,i wanted to mention that i had a little sensitivity once,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'had', 'a', 'little', 'sensitivity', 'once']"
I am happy to hear the tooth is still strong after all these years.,happy,i am happy to hear the tooth is still strong after all these years,"['i', 'am', 'happy', 'to', 'hear', 'the', 'tooth', 'is', 'still', 'strong', 'after', 'all', 'these', 'years']"
"Hi doctor, I am here for the deep cleaning you recommended.",neutral,hi doctor i am here for the deep cleaning you recommended,"['hi', 'doctor', 'i', 'am', 'here', 'for', 'the', 'deep', 'cleaning', 'you', 'recommended']"
"At home, I really want a cleaner feeling.",neutral,at home i really want a cleaner feeling,"['at', 'home', 'i', 'really', 'want', 'a', 'cleaner', 'feeling']"
Does the tooth look serious?,neutral,does the tooth look serious,"['does', 'the', 'tooth', 'look', 'serious']"
I wanted to mention that my gums used to bleed when flossing.,neutral,i wanted to mention that my gums used to bleed when flossing,"['i', 'wanted', 'to', 'mention', 'that', 'my', 'gums', 'used', 'to', 'bleed', 'when', 'flossing']"
I wanted to mention that I followed the pre-visit advice.,neutral,i wanted to mention that i followed the previsit advice,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'followed', 'the', 'previsit', 'advice']"
"At home, I followed the pre-visit advice.",neutral,at home i followed the previsit advice,"['at', 'home', 'i', 'followed', 'the', 'previsit', 'advice']"
"Wonderful, I am very happy with that result.",happy,wonderful i am very happy with that result,"['wonderful', 'i', 'am', 'very', 'happy', 'with', 'that', 'result']"
"At home, I really want a cleaner feeling.",neutral,at home i really want a cleaner feeling,"['at', 'home', 'i', 'really', 'want', 'a', 'cleaner', 'feeling']"
"At home, I have been nervous but ready.",neutral,at home i have been nervous but ready,"['at', 'home', 'i', 'have', 'been', 'nervous', 'but', 'ready']"
Is the area healing well?,neutral,is the area healing well,"['is', 'the', 'area', 'healing', 'well']"
"Since my last visit, I really want a cleaner feeling.",neutral,since my last visit i really want a cleaner feeling,"['since', 'my', 'last', 'visit', 'i', 'really', 'want', 'a', 'cleaner', 'feeling']"
Can I brush normally tonight?,neutral,can i brush normally tonight,"['can', 'i', 'brush', 'normally', 'tonight']"
That makes me feel happy and relieved.,happy,that makes me feel happy and relieved,"['that', 'makes', 'me', 'feel', 'happy', 'and', 'relieved']"
I noticed that my gums used to bleed when flossing.,neutral,i noticed that my gums used to bleed when flossing,"['i', 'noticed', 'that', 'my', 'gums', 'used', 'to', 'bleed', 'when', 'flossing']"
I noticed that I followed the pre-visit advice.,neutral,i noticed that i followed the previsit advice,"['i', 'noticed', 'that', 'i', 'followed', 'the', 'previsit', 'advice']"
I wanted to mention that my gums used to bleed when flossing.,neutral,i wanted to mention that my gums used to bleed when flossing,"['i', 'wanted', 'to', 'mention', 'that', 'my', 'gums', 'used', 'to', 'bleed', 'when', 'flossing']"
I wanted to mention that I followed the pre-visit advice.,neutral,i wanted to mention that i followed the previsit advice,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'followed', 'the', 'previsit', 'advice']"
I noticed that I want to improve my gum health.,neutral,i noticed that i want to improve my gum health,"['i', 'noticed', 'that', 'i', 'want', 'to', 'improve', 'my', 'gum', 'health']"
"Wonderful, I am very happy with that result.",happy,wonderful i am very happy with that result,"['wonderful', 'i', 'am', 'very', 'happy', 'with', 'that', 'result']"
I wanted to mention that I have been nervous but ready.,neutral,i wanted to mention that i have been nervous but ready,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'have', 'been', 'nervous', 'but', 'ready']"
Should I use a special toothpaste?,neutral,should i use a special toothpaste,"['should', 'i', 'use', 'a', 'special', 'toothpaste']"
"At home, I want to improve my gum health.",neutral,at home i want to improve my gum health,"['at', 'home', 'i', 'want', 'to', 'improve', 'my', 'gum', 'health']"
I wanted to mention that I followed the pre-visit advice.,neutral,i wanted to mention that i followed the previsit advice,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'followed', 'the', 'previsit', 'advice']"
"At home, I followed the pre-visit advice.",neutral,at home i followed the previsit advice,"['at', 'home', 'i', 'followed', 'the', 'previsit', 'advice']"
I am happy I finally did the deep cleaning and it feels much better already.,happy,i am happy i finally did the deep cleaning and it feels much better already,"['i', 'am', 'happy', 'i', 'finally', 'did', 'the', 'deep', 'cleaning', 'and', 'it', 'feels', 'much', 'better', 'already']"
"Good morning doctor, I am here for my regular check-up and cleaning.",neutral,good morning doctor i am here for my regular checkup and cleaning,"['good', 'morning', 'doctor', 'i', 'am', 'here', 'for', 'my', 'regular', 'checkup', 'and', 'cleaning']"
I noticed that I have been flossing more often.,neutral,i noticed that i have been flossing more often,"['i', 'noticed', 'that', 'i', 'have', 'been', 'flossing', 'more', 'often']"
I noticed that I want to keep my teeth clean.,neutral,i noticed that i want to keep my teeth clean,"['i', 'noticed', 'that', 'i', 'want', 'to', 'keep', 'my', 'teeth', 'clean']"
"Since my last visit, I want to keep my teeth clean.",neutral,since my last visit i want to keep my teeth clean,"['since', 'my', 'last', 'visit', 'i', 'want', 'to', 'keep', 'my', 'teeth', 'clean']"
